Time,KPI1,KPI2
2016/11/7 0:00,1011,1346
2016/11/7 1:00,724,970
2016/11/7 2:00,649,859
2016/11/7 3:00,703,933
2016/11/7 4:00,720,985
2016/11/7 5:00,724,960
2016/11/7 6:00,789,964
2016/11/7 7:00,867,1006
2016/11/7 8:00,1009,1222
2016/11/7 9:00,1090,1356
2016/11/7 10:00,1125,1441
2016/11/7 11:00,1111,1437
2016/11/7 12:00,993,1171
2016/11/7 13:00,1056,1345
2016/11/7 14:00,1062,1397
2016/11/7 15:00,1126,1338
2016/11/7 16:00,1484,1825
2016/11/7 17:00,1231,1537
2016/11/7 18:00,1167,1414
2016/11/7 19:00,1201,1477
2016/11/7 20:00,1214,1460
2016/11/7 21:00,1358,1742
2016/11/7 22:00,1241,1578
2016/11/7 23:00,1200,1458
2016/11/8 0:00,1011,1346
2016/11/8 1:00,724,970
2016/11/8 2:00,649,859
2016/11/8 3:00,703,933
2016/11/8 4:00,720,985
2016/11/8 5:00,724,960
2016/11/8 6:00,789,964
2016/11/8 7:00,867,1006
2016/11/8 8:00,1009,1222
2016/11/8 9:00,1090,1356
2016/11/8 10:00,1125,1441
2016/11/8 11:00,1111,1437
2016/11/8 12:00,993,1171
2016/11/8 13:00,1056,1345
2016/11/8 14:00,1062,1397
2016/11/8 15:00,1126,1338
2016/11/8 16:00,1484,1825
2016/11/8 17:00,1231,1537
2016/11/8 18:00,1167,1414
2016/11/8 19:00,1201,1477
2016/11/8 20:00,1214,1460
2016/11/8 21:00,1358,1742
2016/11/8 22:00,1241,1578
2016/11/8 23:00,1200,1458
2016/11/9 0:00,1011,1346
2016/11/9 1:00,724,970
2016/11/9 2:00,649,859
2016/11/9 3:00,703,933
2016/11/9 4:00,720,985
2016/11/9 5:00,724,960
2016/11/9 6:00,789,964
2016/11/9 7:00,867,1006
2016/11/9 8:00,1009,1222
2016/11/9 9:00,1090,1356
2016/11/9 10:00,1125,1441
2016/11/9 11:00,1111,1437
2016/11/9 12:00,993,1171
2016/11/9 13:00,1056,1345
2016/11/9 14:00,1062,1397
2016/11/9 15:00,1126,1338
2016/11/9 16:00,1484,1825
2016/11/9 17:00,1231,1537
2016/11/9 18:00,1167,1414
2016/11/9 19:00,1201,1477
2016/11/9 20:00,1214,1460
2016/11/9 21:00,1358,1742
2016/11/9 22:00,1241,1578
2016/11/9 23:00,1200,1458
2016/11/10 0:00,1011,1346
2016/11/10 1:00,724,970
2016/11/10 2:00,649,859
2016/11/10 3:00,703,933
2016/11/10 4:00,720,985
2016/11/10 5:00,724,960
2016/11/10 6:00,789,964
2016/11/10 7:00,867,1006
2016/11/10 8:00,1009,1222
2016/11/10 9:00,1090,1356
2016/11/10 10:00,1125,1441
2016/11/10 11:00,1111,1437
2016/11/10 12:00,993,1171
2016/11/10 13:00,1056,1345
2016/11/10 14:00,1062,1397
2016/11/10 15:00,1126,1338
2016/11/10 16:00,1484,1825
2016/11/10 17:00,1231,1537
2016/11/10 18:00,1167,1414
2016/11/10 19:00,1201,1477
2016/11/10 20:00,1214,1460
2016/11/10 21:00,1358,1742
2016/11/10 22:00,1241,1578
2016/11/10 23:00,1200,1458
2016/11/11 0:00,1011,1346
2016/11/11 1:00,724,970
2016/11/11 2:00,649,859
2016/11/11 3:00,703,933
2016/11/11 4:00,720,985
2016/11/11 5:00,724,960
2016/11/11 6:00,789,964
2016/11/11 7:00,867,1006
2016/11/11 8:00,1009,1222
2016/11/11 9:00,1090,1356
2016/11/11 10:00,1125,1441
