Time,KPI
2016/11/7 0:00,4609
2016/11/7 1:00,3882
2016/11/7 2:00,3845
2016/11/7 3:00,3547
2016/11/7 4:00,3305
2016/11/7 5:00,3529
2016/11/7 6:00,4245
2016/11/7 7:00,4337
2016/11/7 8:00,3205
2016/11/7 9:00,1929
2016/11/7 10:00,2239
2016/11/7 11:00,2452
2016/11/7 12:00,2316
2016/11/7 13:00,2477
2016/11/7 14:00,2182
2016/11/7 15:00,2179
2016/11/7 16:00,2869
2016/11/7 17:00,4232
2016/11/7 18:00,6061
2016/11/7 19:00,6096
2016/11/7 20:00,4761
2016/11/7 21:00,5062
2016/11/7 22:00,5127
2016/11/7 23:00,4581
2016/11/8 0:00,4097
2016/11/8 1:00,3316
2016/11/8 2:00,3086
2016/11/8 3:00,2752
2016/11/8 4:00,2793
2016/11/8 5:00,2879
2016/11/8 6:00,3698
2016/11/8 7:00,3981
2016/11/8 8:00,2510
2016/11/8 9:00,2012
2016/11/8 10:00,1901
2016/11/8 11:00,2368
2016/11/8 12:00,2333
2016/11/8 13:00,2434
2016/11/8 14:00,1940
2016/11/8 15:00,2021
2016/11/8 16:00,2576
2016/11/8 17:00,4070
2016/11/8 18:00,5277
2016/11/8 19:00,5207
2016/11/8 20:00,5228
2016/11/8 21:00,5560
2016/11/8 22:00,5011
2016/11/8 23:00,4293
2016/11/9 0:00,3048
2016/11/9 1:00,2527
2016/11/9 2:00,2286
2016/11/9 3:00,2331
2016/11/9 4:00,2442
2016/11/9 5:00,2396
2016/11/9 6:00,3448
2016/11/9 7:00,3461
2016/11/9 8:00,2529
2016/11/9 9:00,2161
2016/11/9 10:00,2196
2016/11/9 11:00,1914
2016/11/9 12:00,2519
2016/11/9 13:00,2208
2016/11/9 14:00,1894
2016/11/9 15:00,2200
2016/11/9 16:00,2568
2016/11/9 17:00,4501
2016/11/9 18:00,6730
2016/11/9 19:00,5920
2016/11/9 20:00,5487
2016/11/9 21:00,5476
2016/11/9 22:00,5365
2016/11/9 23:00,4593
2016/11/10 0:00,4072
2016/11/10 1:00,3843
2016/11/10 2:00,3374
2016/11/10 3:00,3435
2016/11/10 4:00,3186
2016/11/10 5:00,3451
2016/11/10 6:00,3843
2016/11/10 7:00,3942
2016/11/10 8:00,3156
2016/11/10 9:00,2783
2016/11/10 10:00,2328
2016/11/10 11:00,2285
2016/11/10 12:00,2555
2016/11/10 13:00,2319
2016/11/10 14:00,2315
